los,frac_observed_control,frac_observed_treated
0,.9901590545583793,.9831500574757792
1,7.40477459866e-06,.0000224452136384
2,.0000833037142349,.0001859746272892
3,.0001036668443813,.0002196424477467
4,.0001351371364256,.0002452941204763
5,.0001703098157692,.0002917877772986
6,.0001999289141639,.000274152252297
7,.0002258456252592,.0002933910068442
8,.0003332148569398,.0004665397977686
9,.0002573159173035,.0004280622886743
10,.0002017801078135,.0003254555977561
11,.0002406551744565,.0004104267636727
12,.0002887862093478,.0003927912386712
13,.0002721254665008,.0003719492545784
14,.0002943397902968,.000397600927308
15,.0003221076950418,.0005194463727733
16,.0002776790474498,.000464936568223
17,.0002406551744565,.0003911880091256
18,.0002165896570108,.00038958477958
19,.0002313992062082,.0003607266477592
20,.0002462087554055,.0004473010432215
21,.0004072626029264,.0005659400295956
22,.0002998933712458,.0004200461409463
23,.0002110360760618,.0003687427954872
24,.0001795657840175,.0003014071545722
25,.0001388395237249,.0003030103841178
26,.0001740122030685,.0002693425636602
27,.0001425419110242,.0002837716295706
28,.0001536490729222,.0002885813182074
29,.0001777145903679,.0003318685159385
30,.0001592026538712,.0003543137295769
31,.0002128872697115,.0003366782045753
32,.0001388395237249,.0002517070386587
33,.0001147740062792,.0002404844318395
34,.0001332859427759,.0001891810863804
35,.0001147740062792,.000190784315926
36,.0001092204253303,.0002308650545659
37,.0001258811681772,.0002468973500219
38,.0000962620697826,.0001731487909244
39,.0000888572951839,.0001795617091068
40,.0000925596824833,.0001555132659229
41,.0000925596824833,.0001667358727421
42,.0000777501332859,.000198800463654
43,.0001203275872282,.0001971972341084
44,.0000907084888336,.0001715455613788
45,.0000814525205853,.0001667358727421
46,.000066642971388,.0001491003477405
47,.0000518334221906,.0001410842000125
48,.0000777501332859,.0001346712818301
49,.000066642971388,.0001138292977374
50,.0000703453586873,.0001410842000125
51,.0000758989396363,.0001314648227389
52,.0000462798412416,.0001010034613726
53,.0000518334221906,.0000929873136446
54,.000038875066643,.0000881776250078
55,.0000370238729933,.0000977970022814
56,.0000573870031396,.0000897808545534
57,.0000629405840886,.0001330680522845
58,.0000796013269356,.0001122260681918
59,.00005553580949,.0000705421000063
60,.0000407262602926,.0000849711659166
61,.000044428647592,.0000721453295518
62,.0000296190983946,.0000577162636415
63,.0000259167110953,.0000721453295518
64,.0000462798412416,.0000529065750047
65,.000027767904745,.000075351788643
66,.0000351726793436,.0000561130340959
67,.0000296190983946,.000075351788643
68,.000033321485694,.0000593194931871
69,.0000314702920443,.0000448904272767
70,.000033321485694,.0000689388704607
71,.0000314702920443,.0000689388704607
72,.000027767904745,.0000561130340959
73,.0000240655174456,.0000480968863679
74,.0000203631301463,.0000497001159135
75,.0000314702920443,.0000513033454591
76,.0000148095491973,.0000529065750047
77,.0000185119364967,.0000368742795487
78,9.25596824833e-06,.0000561130340959
79,.0000314702920443,.0000336678204575
80,.0000148095491973,.0000304613613663
81,.000022214323796,.0000320645909119
82,.0000185119364967,.0000320645909119
83,.0000185119364967,.0000192387545472
84,.0000240655174456,.0000320645909119
85,.0000148095491973,.0000320645909119
86,.000022214323796,.0000272549022751
87,.0000148095491973,.0000336678204575
88,.0000129583555477,.0000176355250016
89,.0000129583555477,.0000304613613663
90,.000016660742847,.0000240484431839
91,.0000240655174456,.0000352710500031
92,.000011107161898,.0000352710500031
93,.0000148095491973,.0000176355250016
94,9.25596824833e-06,.0000272549022751
95,.0000148095491973,.0000192387545472
96,3.70238729933e-06,.0000192387545472
97,.0000148095491973,8.01614772798e-06
98,9.25596824833e-06,.0000352710500031
99,.0000185119364967,.0000304613613663
100,.0000203631301463,.0000593194931871
